站名,可借,可還,更新時間
YouBike2.0_捷運公館站(1號出口),0,11,2022-02-18 08:55:30
YouBike2.0_捷運公館站(4號出口),0,12,2022-02-18 09:00:32
YouBike2.0_捷運古亭站(9號出口),4,16,2022-02-18 09:18:13
YouBike2.0_捷運古亭站(2號出口),2,10,2022-02-18 09:14:11
YouBike2.0_捷運臺電大樓站(1號出口),0,34,2022-02-18 08:59:04
YouBike2.0_客家文化主題公園,1,14,2022-02-18 08:28:13
YouBike2.0_河堤國小,7,8,2022-02-18 09:10:40
YouBike2.0_紀州庵,4,11,2022-02-18 09:18:13
YouBike2.0_捷運臺電大樓站(5號出口),1,16,2022-02-18 09:03:12
YouBike2.0_捷運臺電大樓站(4號出口),0,13,2022-02-18 09:07:04
YouBike2.0_羅斯福三段金門街口,0,15,2022-02-18 08:58:03
YouBike2.0_牯嶺公園,5,7,2022-02-18 09:14:11
YouBike2.0_捷運古亭站(8號出口),12,3,2022-02-18 09:18:13
YouBike2.0_捷運古亭站(7號出口),3,9,2022-02-18 09:16:09
YouBike2.0_南昌公園,14,7,2022-02-18 09:16:09
YouBike2.0_和平重慶路口,3,22,2022-02-18 09:12:12
YouBike2.0_孫立人將軍官邸,5,18,2022-02-18 09:14:11
YouBike2.0_羅斯福路二段6巷口,0,14,2022-02-18 07:58:03
YouBike2.0_金華杭州南路口,2,19,2022-02-18 09:16:09
YouBike2.0_捷運中正紀念堂站(3號出口),1,17,2022-02-18 08:55:30
YouBike2.0_捷運中正紀念堂站(4號出口),10,11,2022-02-18 09:10:40
YouBike2.0_重慶南海路口西南側,11,5,2022-02-18 09:14:28
YouBike2.0_螢橋國小,10,12,2022-02-18 09:08:11
YouBike2.0_古亭智慧圖書館,4,10,2022-02-18 07:48:12
YouBike2.0_永昌公園,10,3,2022-02-18 08:23:13
YouBike2.0_中華路二段409巷口,3,12,2022-02-18 09:06:12
YouBike2.0_南機場夜市(中華路二段),15,26,2022-02-18 08:59:12
YouBike2.0_南海和平路口西南側,6,13,2022-02-18 09:07:12
YouBike2.0_莒光和平路口,5,15,2022-02-18 09:02:28
YouBike2.0_水源路11-1號旁,3,16,2022-02-18 09:00:41
YouBike2.0_南門國中,13,8,2022-02-18 09:07:12
YouBike2.0_捷運小南門站(2號出口),14,4,2022-02-18 09:12:12
YouBike2.0_介壽公園,17,6,2022-02-18 09:18:13
YouBike2.0_中華貴陽街口,2,18,2022-02-18 09:00:41
YouBike2.0_華山文創園區,12,27,2022-02-18 09:11:12
YouBike2.0_捷運善導寺站(1號出口),5,12,2022-02-18 09:12:12
YouBike2.0_濟南紹興路口,12,8,2022-02-18 09:00:41
YouBike2.0_林森仁愛路口,6,7,2022-02-18 09:07:12
YouBike2.0_中正運動中心,2,16,2022-02-18 09:13:12
YouBike2.0_信義杭州路口,14,4,2022-02-18 09:18:13
YouBike2.0_捷運善導寺站(3號出口),1,19,2022-02-18 09:12:04
YouBike2.0_捷運小南門站(1號出口),2,44,2022-02-18 08:35:27
YouBike2.0_延平南路133巷口,0,17,2022-02-18 09:09:03
YouBike2.0_捷運西門站(2號出口),5,19,2022-02-18 09:18:13
YouBike2.0_寶慶博愛路口,12,7,2022-02-18 08:55:38
YouBike2.0_法務部,11,16,2022-02-18 08:45:27
YouBike2.0_臺北市立大學(博愛校區),5,44,2022-02-18 09:11:12
YouBike2.0_國家圖書館,11,5,2022-02-18 08:36:12
YouBike2.0_市民金山路口,2,16,2022-02-18 09:04:11
YouBike2.0_聯合醫院和平院區,7,11,2022-02-18 09:05:30
YouBike2.0_中山堂,4,9,2022-02-18 08:45:27
YouBike2.0_中華漢口街口,3,16,2022-02-18 09:00:41
YouBike2.0_中華路一段21巷口,1,21,2022-02-18 08:50:33
YouBike2.0_捷運臺大醫院站(4號出口),13,10,2022-02-18 09:18:13
YouBike2.0_寶藏巖觀音亭,12,11,2022-02-18 08:05:26
YouBike2.0_師大水源路口,0,11,2022-02-18 07:10:29
YouBike2.0_中山徐州路口,8,8,2022-02-18 09:09:11
YouBike2.0_信義連雲街口,0,18,2022-02-18 09:05:22
YouBike2.0_臺北轉運站,12,12,2022-02-18 09:13:12
YouBike2.0_莒光大埔街口,1,13,2022-02-18 08:36:12
YouBike2.0_捷運忠孝新生站(2號出口),6,14,2022-02-18 09:18:13
YouBike2.0_光華商場,11,10,2022-02-18 09:07:12
YouBike2.0_中山青島路口,6,10,2022-02-18 09:16:09
YouBike2.0_捷運中正紀念堂站(5號出口),4,24,2022-02-18 08:47:12
YouBike2.0_王貫英先生紀念圖書館,8,7,2022-02-18 08:47:12
YouBike2.0_金山信義路口,4,6,2022-02-18 09:08:11
YouBike2.0_林森徐州路口,10,6,2022-02-18 09:08:11
YouBike2.0_徐州杭州路口,2,17,2022-02-18 08:45:27
YouBike2.0_通北街65巷口,3,13,2022-02-18 09:19:12
YouBike2.0_圓山風景區,8,7,2022-02-18 08:47:12
YouBike2.0_樂群二堤頂大道口,10,10,2022-02-18 09:19:12
YouBike2.0_劍潭社區,6,7,2022-02-18 09:05:30
YouBike2.0_培英公園,11,3,2022-02-18 08:59:12
YouBike2.0_樂群二明水路口,8,12,2022-02-18 09:19:12
YouBike2.0_北安大直街口,8,7,2022-02-18 08:29:13
YouBike2.0_捷運劍南路站(2號出口),22,16,2022-02-18 09:18:13
YouBike2.0_樂群二敬業三路口,10,9,2022-02-18 09:14:11
YouBike2.0_樂群二敬業四路口,6,12,2022-02-18 09:18:13
YouBike2.0_捷運大直站(3號出口),12,22,2022-02-18 09:00:41
YouBike2.0_復興市民路口,14,4,2022-02-18 09:13:12
YouBike2.0_南京遼寧街口,5,10,2022-02-18 09:19:12
YouBike2.0_伊通長安路口,8,7,2022-02-18 08:59:12
YouBike2.0_新生長安路口,7,8,2022-02-18 09:14:03
YouBike2.0_市民林森路口,9,11,2022-02-18 09:19:12
YouBike2.0_南京新生路口,6,6,2022-02-18 09:16:09
YouBike2.0_一江公園,11,5,2022-02-18 08:54:12
YouBike2.0_松江公園,5,10,2022-02-18 08:28:13
YouBike2.0_新生長春路口,1,14,2022-02-18 08:38:12
YouBike2.0_第二果菜批發市場,2,14,2022-02-18 09:19:12
YouBike2.0_民生建國路口,10,7,2022-02-18 09:14:11
YouBike2.0_興安華城,5,25,2022-02-18 08:59:12
YouBike2.0_捷運中山國中站,16,0,2022-02-18 09:21:04
YouBike2.0_龍江錦州街口,0,16,2022-02-18 09:02:04
YouBike2.0_建國長春路口,6,10,2022-02-18 08:55:38
YouBike2.0_南京建國路口,7,21,2022-02-18 09:10:40
YouBike2.0_捷運松江南京站(7號出口),0,38,2022-02-18 09:12:04
YouBike2.0_朱崙商場,5,10,2022-02-18 09:19:12
YouBike2.0_中吉公園,2,13,2022-02-18 08:37:11
YouBike2.0_華山公園,7,12,2022-02-18 09:12:12
YouBike2.0_建國北路一段17巷,6,39,2022-02-18 09:10:41
YouBike2.0_江寧公園,11,4,2022-02-18 09:16:09
YouBike2.0_民權龍江路口,2,12,2022-02-18 08:57:12
YouBike2.0_捷運中山國小站(2號出口),9,50,2022-02-18 09:09:11
YouBike2.0_捷運行天宮站(3號出口),0,24,2022-02-18 09:16:03
YouBike2.0_林森農安街口,3,9,2022-02-18 09:18:13
YouBike2.0_捷運中山國小站(4號出口),5,14,2022-02-18 09:12:12
YouBike2.0_農安雙城街口,10,3,2022-02-18 09:03:12
YouBike2.0_新生德惠街口,8,7,2022-02-18 09:19:12
YouBike2.0_民族林森路口,7,8,2022-02-18 09:11:12
YouBike2.0_臺北市立美術館,2,22,2022-02-18 09:06:12
YouBike2.0_中山民族路口,9,7,2022-02-18 09:05:31
YouBike2.0_新生高架停車場(林森北路107巷口),7,7,2022-02-18 09:09:03
YouBike2.0_南京林森路口(東南側),6,4,2022-02-18 09:19:12
YouBike2.0_仁德公園,6,12,2022-02-18 08:46:12
YouBike2.0_中原公園,5,10,2022-02-18 09:19:12
YouBike2.0_下埤公園,4,7,2022-02-18 09:12:12
YouBike2.0_五常國中,7,7,2022-02-18 09:18:13
YouBike2.0_榮星花園,11,4,2022-02-18 09:14:12
YouBike2.0_民權建國路口,5,9,2022-02-18 09:18:13
YouBike2.0_松江路431巷口,7,8,2022-02-18 09:18:13
YouBike2.0_新喜公園,4,7,2022-02-18 08:53:13
YouBike2.0_吉林路407巷口,13,2,2022-02-18 09:18:13
YouBike2.0_民族松江路口,11,6,2022-02-18 09:02:12
YouBike2.0_林安泰古厝,7,3,2022-02-18 09:16:09
YouBike2.0_中山公民會館,6,14,2022-02-18 09:13:12
YouBike2.0_渭水八德路口,7,16,2022-02-18 08:36:12
YouBike2.0_捷運中山站(2號出口),2,12,2022-02-18 09:18:13
YouBike2.0_撫順公園,3,7,2022-02-18 09:18:13
YouBike2.0_新生公園,3,5,2022-02-18 08:44:03
YouBike2.0_捷運行天宮站(1號出口),2,24,2022-02-18 09:18:13
YouBike2.0_林森長春路口,8,2,2022-02-18 09:18:13
YouBike2.0_建國農安街口,22,8,2022-02-18 08:50:33
YouBike2.0_松江路77巷口,7,3,2022-02-18 09:16:09
YouBike2.0_建國長安路口,7,8,2022-02-18 09:14:12
YouBike2.0_市民新生路口,6,9,2022-02-18 09:12:12
YouBike2.0_民權吉林路口,8,7,2022-02-18 09:16:09
YouBike2.0_中山農安街口,17,0,2022-02-18 09:12:04
YouBike2.0_捷運行政大樓,7,7,2022-02-18 09:14:12
YouBike2.0_中吉公園(松江路188巷),12,8,2022-02-18 09:14:12
YouBike2.0_吉林路123巷口,7,6,2022-02-18 08:40:23
YouBike2.0_國立臺北大學(臺北校區),2,12,2022-02-18 09:19:12
YouBike2.0_錦州吉林路口,7,3,2022-02-18 09:02:12
YouBike2.0_中山北路二段59巷口,4,8,2022-02-18 09:19:12
YouBike2.0_永盛公園(民生東路一段23巷),1,11,2022-02-18 08:52:04
YouBike2.0_新生錦州街口,2,18,2022-02-18 08:29:13
YouBike2.0_濱江街199巷口,3,12,2022-02-18 06:28:11
YouBike2.0_濱江果菜市場,15,7,2022-02-18 07:59:12
YouBike2.0_興安合江路口,6,13,2022-02-18 08:59:12
YouBike2.0_台泥大樓,8,10,2022-02-18 08:49:12
YouBike2.0_新興公園,0,10,2022-02-18 08:27:04
YouBike2.0_南京伊通街口,2,9,2022-02-18 09:18:13
YouBike2.0_南京龍江路口,7,8,2022-02-18 09:16:09
YouBike2.0_撫順街41巷(崇德宮前),2,17,2022-02-18 09:16:09
YouBike2.0_捷運大直站(1號出口),13,17,2022-02-18 09:12:12
YouBike2.0_捷運松江南京站(4號出口),10,22,2022-02-18 09:16:09
YouBike2.0_文湖街21巷118弄口,7,7,2022-02-18 08:37:11
YouBike2.0_北勢湖環保公園,3,12,2022-02-18 08:28:13
YouBike2.0_洲子一號公園,7,36,2022-02-18 09:05:31
YouBike2.0_西康公園,6,10,2022-02-18 09:05:31
YouBike2.0_文湖國小,4,11,2022-02-18 09:14:12
YouBike2.0_文湖街81巷10號西側,7,7,2022-02-18 09:14:12
YouBike2.0_德明財經科技大學,9,10,2022-02-18 09:10:41
YouBike2.0_麗山國小,4,11,2022-02-18 08:59:12
YouBike2.0_麗山高中,9,6,2022-02-18 08:53:13
YouBike2.0_港華五號公園,6,10,2022-02-18 08:40:32
YouBike2.0_大湖國小,19,6,2022-02-18 09:02:13
YouBike2.0_安湖三號公園,6,6,2022-02-18 08:53:13
YouBike2.0_東湖路113巷95弄,5,5,2022-02-18 08:50:33
YouBike2.0_瑞光計程車服務站,10,10,2022-02-18 09:00:42
YouBike2.0_文德三號公園(江南街71巷16弄),11,4,2022-02-18 09:10:41
YouBike2.0_捷運大湖公園站(2號出口),4,18,2022-02-18 09:06:12
YouBike2.0_康寧星雲街口,0,12,2022-02-18 07:50:25
YouBike2.0_星雲街47號,8,7,2022-02-18 08:18:15
YouBike2.0_捷運西湖站(1號出口),10,25,2022-02-18 09:06:12
YouBike2.0_捷運西湖站(2號出口),0,12,2022-02-18 08:44:03
YouBike2.0_洲子二號公園,18,20,2022-02-18 09:11:12
YouBike2.0_港都公園,0,15,2022-02-18 08:48:04
YouBike2.0_環山路二段26巷口,17,12,2022-02-18 09:00:42
YouBike2.0_成功金龍路口,12,5,2022-02-18 09:16:09
YouBike2.0_碧山公園,3,12,2022-02-18 09:08:11
YouBike2.0_金瑞公園,8,7,2022-02-18 09:12:12
YouBike2.0_捷運文德站(2號出口),0,17,2022-02-18 09:07:04
YouBike2.0_陽光公園,7,9,2022-02-18 08:45:27
YouBike2.0_文德二號公園(南側),7,6,2022-02-18 09:14:12
YouBike2.0_文德二號公園(北側),0,15,2022-02-18 08:53:04
YouBike2.0_瑞陽公園,1,11,2022-02-18 09:18:04
YouBike2.0_湖光國宅,0,14,2022-02-18 08:45:19
YouBike2.0_潭美街213號,7,5,2022-02-18 07:43:12
YouBike2.0_南京東路六段180號,14,7,2022-02-18 08:38:12
YouBike2.0_潭美國小(南京舊宗路口),4,12,2022-02-18 07:24:11
YouBike2.0_新明路343號,8,4,2022-02-18 09:04:11
YouBike2.0_週美里活動廣場,3,9,2022-02-18 08:47:12
YouBike2.0_內湖行政中心,4,21,2022-02-18 08:53:13
YouBike2.0_樂康公園,18,2,2022-02-18 07:21:13
YouBike2.0_安康路32巷24弄,9,12,2022-02-18 08:28:13
YouBike2.0_明美公園,7,5,2022-02-18 09:18:13
YouBike2.0_南京東路六段368巷,11,4,2022-02-18 08:55:38
YouBike2.0_新明成功路口,3,15,2022-02-18 08:57:12
YouBike2.0_民權瑞光路口,8,11,2022-02-18 09:11:12
YouBike2.0_瑞光公共住宅(瑞光路),1,17,2022-02-18 09:18:04
YouBike2.0_民權東路六段15巷,5,12,2022-02-18 09:11:12
YouBike2.0_扶輪親恩公園,6,11,2022-02-18 08:51:13
YouBike2.0_新湖三民善街口,3,12,2022-02-18 04:34:28
YouBike2.0_內湖119號綠地,16,8,2022-02-18 09:18:13
YouBike2.0_行善公園,5,10,2022-02-18 08:37:11
YouBike2.0_三軍總醫院,5,9,2022-02-18 09:02:13
YouBike2.0_福華商場,8,12,2022-02-18 09:12:12
YouBike2.0_臺北市網球中心,8,8,2022-02-18 09:07:12
YouBike2.0_捷運葫洲站(1號出口),8,7,2022-02-18 08:59:12
YouBike2.0_麗湖國小,5,7,2022-02-18 08:01:12
YouBike2.0_金湖路347巷125弄口,11,4,2022-02-18 08:49:12
YouBike2.0_碧湖公園,5,10,2022-02-18 08:42:12
YouBike2.0_碧湖公園(內湖路二段103巷),8,11,2022-02-18 09:04:11
YouBike2.0_貿七社區,7,10,2022-02-18 08:53:13
YouBike2.0_內湖區農會,0,12,2022-02-18 09:18:04
YouBike2.0_捷運內湖站(2號出口),4,6,2022-02-18 09:02:13
YouBike2.0_康寧金湖路口,7,7,2022-02-18 07:07:12
YouBike2.0_康寧路一段156巷20弄口,6,11,2022-02-18 08:45:27
YouBike2.0_安康公園,8,11,2022-02-18 09:18:13
YouBike2.0_安泰街83巷,5,6,2022-02-18 09:12:12
YouBike2.0_內溝溪生態展示館,3,5,2022-02-17 17:51:01
YouBike2.0_捷運港墘站(2號出口),10,5,2022-02-18 09:18:13
YouBike2.0_東湖國中,3,13,2022-02-18 07:54:11
YouBike2.0_石潭公園(安康路),8,12,2022-02-18 07:59:12
YouBike2.0_內湖垃圾焚化廠,7,13,2022-02-17 19:14:14
YouBike2.0_康寧公園(北側),9,11,2022-02-18 08:00:45
YouBike2.0_康寧路三段54巷口,4,11,2022-02-17 23:07:11
YouBike2.0_行善路25巷口,8,6,2022-02-18 08:58:11
YouBike2.0_新明路460巷口,8,7,2022-02-18 07:50:34
YouBike2.0_下灣公園,5,5,2022-02-18 08:12:12
YouBike2.0_民權東路六段245巷口,6,6,2022-02-17 22:13:12
YouBike2.0_星雲金湖街口,2,12,2022-02-18 08:29:13
YouBike2.0_東湖國小,5,5,2022-02-18 07:39:13
YouBike2.0_捷運內湖站(1號出口),2,8,2022-02-18 09:18:13
YouBike2.0_瑞光港墘路口,6,6,2022-02-18 09:18:13
YouBike2.0_瑞湖陽光街口,2,9,2022-02-18 09:19:04
YouBike2.0_金龍公園,3,12,2022-02-18 08:05:26
YouBike2.0_星雲街138巷1弄口,7,8,2022-02-18 07:00:39
YouBike2.0_東湖一號公園,7,3,2022-02-18 07:08:11
YouBike2.0_東湖二號公園,14,1,2022-02-18 08:02:04
YouBike2.0_康湖二號公園(康寧醫院),9,7,2022-02-18 04:40:31
YouBike2.0_堤頂大道新湖一路口,4,9,2022-02-18 08:55:38
YouBike2.0_下灣公園(成功路),2,14,2022-02-18 08:49:12
YouBike2.0_舊宗行善路口,7,2,2022-02-18 09:10:41
YouBike2.0_新湖二路250巷口,11,9,2022-02-18 09:19:12
YouBike2.0_成功路四段41巷口,4,8,2022-02-17 22:45:41
YouBike2.0_金湖星雲街口,18,12,2022-02-18 08:05:26
YouBike2.0_國防醫學院,3,12,2022-02-18 08:54:12
YouBike2.0_民權東路六段190巷117弄口,2,13,2022-02-18 09:09:11
YouBike2.0_內湖運動中心,7,14,2022-02-18 08:53:13
YouBike2.0_九華公園,0,16,2022-02-18 09:18:04
YouBike2.0_內湖路二段179巷口,9,7,2022-02-17 21:09:11
YouBike2.0_行善行愛路口,6,6,2022-02-18 08:50:34
YouBike2.0_民善新湖二路口(家樂福內湖店),1,22,2022-02-17 22:55:39
YouBike2.0_統振大樓,12,13,2022-02-18 08:55:38
YouBike2.0_陽光街161巷口,3,13,2022-02-18 07:23:12
YouBike2.0_承德路七段304巷口,11,9,2022-02-18 08:48:12
YouBike2.0_洲美運動公園,10,10,2022-02-18 08:45:27
YouBike2.0_榮華二明德路口,19,11,2022-02-18 09:16:09
YouBike2.0_捷運明德站(1號出口),9,12,2022-02-18 09:10:41
YouBike2.0_文林建民路口,1,11,2022-02-18 09:03:12
YouBike2.0_永欣綠地,5,5,2022-02-18 08:42:12
YouBike2.0_關渡宮,4,16,2022-02-18 09:06:28
YouBike2.0_關渡自然公園,1,11,2022-02-18 08:13:04
YouBike2.0_關渡醫院,11,3,2022-02-18 09:14:12
YouBike2.0_捷運忠義站(1號出口),6,11,2022-02-18 08:55:38
YouBike2.0_捷運關渡站(1號出口),1,23,2022-02-18 09:21:04
YouBike2.0_捷運關渡站(2號出口),2,12,2022-02-18 05:59:11
YouBike2.0_中央北路四段540巷口,4,7,2022-02-18 06:05:25
YouBike2.0_大度立德路口,4,14,2022-02-18 08:57:12
YouBike2.0_捷運復興崗站(1號出口),3,10,2022-02-18 09:19:12
YouBike2.0_捷運復興崗站旅客服務中心,6,9,2022-02-18 00:34:11
YouBike2.0_豐年公園,10,10,2022-02-18 09:00:42
YouBike2.0_稻香重三路口,7,8,2022-02-18 05:56:11
YouBike2.0_國防大學政治作戰學院,3,11,2022-02-18 03:06:11
YouBike2.0_秀山區民活動中心,5,5,2022-02-18 08:23:13
YouBike2.0_大業大同街口,8,12,2022-02-18 07:33:12
YouBike2.0_捷運新北投站,15,7,2022-02-18 09:14:12
YouBike2.0_捷運北投站,8,22,2022-02-18 09:18:13
YouBike2.0_捷運奇岩站(三合街),4,14,2022-02-18 09:19:12
YouBike2.0_八仙里辦公處,6,9,2022-02-18 08:55:38
YouBike2.0_清江國小,20,8,2022-02-18 09:16:09
YouBike2.0_大業路300巷口,12,8,2022-02-18 01:47:11
YouBike2.0_立農公園,10,10,2022-02-18 09:18:13
YouBike2.0_北投奇岩長青樂活大樓,6,9,2022-02-18 08:36:12
YouBike2.0_捷運唭哩岸站(2號出口),3,27,2022-02-18 09:19:12
YouBike2.0_北投運動中心,10,7,2022-02-18 09:18:04
YouBike2.0_陽明大學,1,14,2022-02-18 08:55:30
YouBike2.0_捷運石牌站(2號出口),2,17,2022-02-18 09:18:13
YouBike2.0_台北護理大學,4,7,2022-02-18 09:12:12
YouBike2.0_捷運石牌站(1號出口),3,17,2022-02-18 09:19:12
YouBike2.0_振興醫院,6,16,2022-02-18 09:00:42
YouBike2.0_石牌國小,12,14,2022-02-18 08:33:13
YouBike2.0_振興公園,4,9,2022-02-18 08:45:27
YouBike2.0_立農國小,6,13,2022-02-18 06:17:55
YouBike2.0_承德路七段280巷口,6,10,2022-02-18 08:52:12
YouBike2.0_石牌區民活動中心,9,6,2022-02-18 08:55:38
YouBike2.0_榮富公園,1,12,2022-02-18 08:42:04
YouBike2.0_中正高中,19,12,2022-02-18 08:21:15
YouBike2.0_立功立德路口,16,16,2022-02-18 09:05:31
YouBike2.0_中央北路四段30巷口,3,7,2022-02-18 09:14:12
YouBike2.0_陽明交大圖書館,11,26,2022-02-18 09:12:12
YouBike2.0_捷運新北投站(2號出口),6,5,2022-02-18 07:53:13
YouBike2.0_復興公園,1,13,2022-02-18 09:12:12
YouBike2.0_承德石牌路口,7,10,2022-02-18 06:48:12
